2024 Ontario Provincial Championship Match Stats

totalPointsNpThis,autoPointsThis,dcPointsThis,autoSamplePointsThis,autoSpecimenPointsThis,dcSamplePointsThis,dcSpecimenPointsThis,team1This,team2This,matchNum,alliance
90,8,82,8,0,32,50,19468,18809,"Q-7","Blue"
90,11,79,8,0,66,10,16366,9999,"Q-36","Blue"
90,0,90,0,0,74,10,16397,22664,"Q-63","Red"
85,13,72,10,0,12,30,27076,22034,"Q-20","Blue"
83,0,83,0,0,0,50,16397,22603,"Q-30","Red"
83,10,73,0,10,0,70,27831,27631,"Q-60","Blue"
82,3,79,0,0,56,20,22603,16366,"Q-18","Blue"
82,10,72,0,10,6,60,27315,27631,"Q-42","Red"
80,16,64,16,0,64,0,18809,27115,"Q-15","Blue"
79,8,71,8,0,56,0,24760,22035,"Q-18","Red"
78,3,75,0,0,72,0,18809,24457,"Q-29","Blue"
75,20,55,0,20,2,50,27631,16397,"Q-12","Red"
74,37,37,24,10,24,10,27076,22497,"Q-2","Red"
71,0,71,0,0,8,60,19468,27831,"Q-17","Red"
71,0,71,0,0,68,0,27344,19532,"Q-17","Blue"
68,18,50,8,10,22,10,18158,24457,"Q-50","Blue"
67,16,51,16,0,48,0,22035,19500,"Q-26","Blue"
65,0,65,0,0,12,50,16488,27631,"Q-1","Blue"
64,23,41,0,20,8,30,21393,22035,"Q-35","Blue"
62,16,46,16,0,26,20,16397,27344,"Q-51","Blue"
57,27,30,24,0,24,0,16397,20261,"Q-5","Blue"
43,8,35,8,0,32,0,9999,22664,"Q-9","Blue"
39,0,39,0,0,24,0,24760,16397,"Q-37","Blue"
26,0,26,0,0,26,0,19532,22035,"Q-9","Red"
